Cardinal Name,ID,set,Major and Minor triads,Rothenberg Propriety,Lerdahl Instable Modes,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Consecutive semitones,Subset of Diatonic,Subset of MOLT,# Transpositions,Spread Unevenness,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,# Diagnostic Intervals,Semitone Set Violations,# Segments,Scale Degree Clarity,Motive Strength,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Stackable with 3rds,Scalar Pentachord,Imperfections,Polygon Area,Inverse Card. name,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Unique Diads,Total Diads,Sameness Quotient,Coherence Quotient,Prime Form?,Note 2,Note 3,Note 4,Note 5
295,10,0 1 2 5 8,2,improper,0,3,2,1,2,2,2,1,2,false,3,12,0.5,5,10,10,0.15363303609701823,0.3148231006314936,0.15363303609701823,4,6,3,0.4,3,2,3,false,false,3,0.6152970531311421,457,0,0,0,6,13,0.09999999999999998,0.43999999999999995,1,1,2,5,8
199,11,0 1 2 6 7,0,improper,0,3,3,1,0,1,3,2,2,false,4,12,0.7500000000000001,4,7,15,0.19755403899654134,0.35742310652104414,0.19755403899654134,2,4,4,0.4,4,3,3,false,false,2,0.45614211003924476,227,0,0,0,5,15,0.25,0.52,1,1,2,6,7
327,12,0 1 2 6 8,0,improper,0,3,2,2,0,2,2,2,2,false,5,12,0.5714285714285715,5,8,14,0.16398574651730202,0.3138536187951013,0.16398574651730202,1,6,4,0.6,3,2,3,false,false,3,0.572651614658247,327,0,0,0,5,14,0.19999999999999996,0.6,1,1,2,6,8
59,13,0 1 3 4 5,0,improper,0,3,3,2,2,2,1,0,2,false,2,12,0.8214285714285714,4,9,10,0.23458652294601912,0.48376646683341984,0.33083952272521855,2,4,4,0,4,3,4,false,true,4,0.2969871669473473,55,0,0,0,5,12,0.25,0.31999999999999995,0,1,3,4,5
91,14,0 1 3 4 6,0,improper,0,3,2,2,3,1,1,1,1,false,2,12,0.6428571428571428,5,9,10,0.2096310743089102,0.40594075501333116,0.27186605746069986,3,6,5,0.6,5,3,3,false,true,4,0.4348193908027971,109,0,1,1,6,11,0.25,0.4,1,1,3,4,6
155,15,0 1 3 4 7,2,improper,1,4,2,1,3,2,1,1,1,false,3,12,0.5714285714285715,5,9,12,0.18114812003609626,0.35531030521050894,0.22437568353574272,4,6,5,0.4,3,3,4,false,false,4,0.5357195815851934,217,0,0,0,6,14,0.09999999999999998,0.28,1,1,3,4,7
283,16,0 1 3 4 8,2,improper,1,3,2,1,2,3,2,0,1,false,2,12,0.5714285714285715,5,10,12,0.16975923100249588,0.33252620739159877,0.20417574953504058,1,6,4,0.6,3,2,3,true,false,3,0.572651614658247,283,0,1,1,5,13,0.19999999999999996,0.31999999999999995,1,1,3,4,8
107,17,0 1 3 5 6,0,improper,1,3,2,2,2,1,2,1,1,true,2,12,0.6428571428571428,5,10,10,0.20499245521838694,0.3810701855203561,0.27446383347062425,2,6,4,0.8,3,2,2,false,true,3,0.4348193908027971,107,1,1,0,6,11,0.19999999999999996,0.4,1,1,3,5,6
171,18,0 1 3 5 7,1,improper,1,3,1,3,1,2,2,1,1,true,3,12,0.46428571428571425,5,9,10,0.20725692272516077,0.32346588045818714,0.2272855357528732,4,8,3,0.8,4,2,3,false,true,3,0.572651614658247,213,1,0,1,6,13,0.19999999999999996,0.52,1,1,3,5,7
299,19,0 1 3 5 8,3,improper,0,4,1,2,2,2,3,0,1,true,2,12,0.3928571428571429,5,9,10,0.17199302336674438,0.2855200640701474,0.1935779551241421,3,8,4,1,3,1,2,true,false,2,0.6522290862041957,425,2,0,0,5,14,0.09999999999999998,0.56,1,1,3,5,8
203,20,0 1 3 6 7,1,improper,1,4,2,1,2,1,2,2,1,false,5,12,0.5714285714285715,5,8,14,0.18500077725700928,0.3176788468866193,0.2274653296504851,4,6,5,0.6,3,2,3,false,false,3,0.5357195815851935,211,0,0,0,6,16,0.09999999999999998,0.52,1,1,3,6,7
331,21,0 1 3 6 8,1,improper,0,4,1,2,2,1,3,1,1,true,2,12,0.3928571428571429,4,9,10,0.16033495893038985,0.27037979679359675,0.19163686915326372,4,8,5,1,3,1,2,false,false,2,0.6522290862041957,421,1,1,1,6,13,0.19999999999999996,0.8,1,1,3,6,8
587,22,0 1 3 6 9,1,proper,0,3,1,1,4,1,1,2,1,false,5,12,0.32142857142857145,5,7,14,0.13747417347878238,0.24196329413318743,0.17313604391903697,4,8,3,1,4,2,3,true,false,4,0.6948745246770909,589,0,2,0,6,16,0.19999999999999996,0.6,1,1,3,6,9
115,23,0 1 4 5 6,0,improper,0,3,3,1,1,2,2,1,2,false,3,12,0.7500000000000001,4,9,10,0.20210924014596243,0.3921818564388564,0.33377787092846756,3,4,4,0.6,4,3,3,false,false,3,0.39788735772974354,103,0,0,0,6,11,0.25,0.31999999999999995,0,1,4,5,6
179,24,0 1 4 5 7,1,improper,1,4,2,1,2,2,2,1,1,false,3,12,0.5714285714285715,5,10,10,0.1793012275928167,0.31985557654116625,0.27667732677382756,4,6,5,0.6,3,3,3,false,false,3,0.5357195815851934,205,0,1,0,6,15,0.09999999999999998,0.43999999999999995,1,1,4,5,7
307,25,0 1 4 5 8,3,improper,0,3,2,0,2,4,2,0,1,false,3,12,0.5,5,7,16,0.1559487272237925,0.2736605848588349,0.23385335957381675,1,6,5,0.6,5,2,3,true,false,3,0.6152970531311421,409,0,1,0,4,14,0.25,0.64,1,1,4,5,8
211,26,0 1 4 6 7,1,improper,1,4,2,1,2,1,2,2,1,false,5,12,0.5714285714285715,5,8,14,0.16721486029924487,0.3095120611597305,0.2800171151759554,4,6,5,0.4,3,2,3,false,false,3,0.5357195815851935,203,0,0,0,6,16,0.09999999999999998,0.52,0,1,4,6,7
339,27,0 1 4 6 8,1,proper,0,4,1,2,1,3,2,1,1,false,3,12,0.3928571428571429,5,10,12,0.16337907461794932,0.25396383577241644,0.23750522418315065,3,8,4,0.8,3,1,3,false,false,3,0.6522290862041957,405,0,1,1,6,14,0.15000000000000002,0.8,1,1,4,6,8
595,28,0 1 4 6 9,3,proper,0,3,1,1,3,2,2,1,1,false,3,12,0.32142857142857145,4,9,10,0.13678872679926216,0.22121493383545515,0.21490810465236845,3,8,4,0.8,4,1,3,false,false,3,0.6948745246770909,613,0,1,0,6,11,0.25,0.96,1,1,4,6,9
403,29,0 1 4 7 8,2,proper,0,3,2,0,2,3,2,1,1,false,3,12,0.5,5,10,12,0.15636432575436013,0.25741118173904665,0.2395579391906413,1,6,4,0.6,3,2,3,false,false,3,0.6152970531311421,403,0,1,0,5,14,0.19999999999999996,0.8,1,1,4,7,8
